title,price,location,date_posted,link,image_url
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
N/A,N/A,N/A,N/A,https://www.olx.in/,https://statics.olx.in/external/base/img/olxLogo/olx_logo_2025.svg
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
N/A,N/A,N/A,N/A,https://www.olx.in/,N/A
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1803390808,https://apollo.olx.in:443/v1/files/0kvvjjhofxni3-ADVIN/image;s=150x0;q=50;f=webp;
Designer car seat cover vsp,"₹ 12,000","Seetamma Peta, Visakhapatnam",N/A,N/A,N/A
Car seat cover vsp,"₹ 4,200","Seetamma Peta, Visakhapatnam",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-seetamma-peta-visakhapatnam-iid-1804345294,https://apollo.olx.in:443/v1/files/s7rqlxmv22kp1-ADVIN/image;s=150x0;q=50;f=webp;
Car seat cover vsp,"₹ 4,200","Seetamma Peta, Visakhapatnam",N/A,N/A,N/A
Car Seat Covers del,"₹ 3,800","Teen Murti Marg Area, Delhi",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-teen-murti-marg-area-delhi-iid-1804756254,https://apollo.olx.in:443/v1/files/anlj9be4dls03-ADVIN/image;s=150x0;q=50;f=webp;
